line number,Character,Character pinyin,Character EN translation,Character HE translation ,Related Sentence,Sentence Pinyin,Sentence EN Translation,Sentence HE Translation,Apearances in sentences,Group,Sentence Length
1,了,"le, liǎo",finish;,סִיוּם;,雨停了,yǔ tíng le,The rain has stopped,הגשם פסק,284,Group 1,3
2,他,tā,he,הוּא,他正在认真做作业,tā zhèng zài rèn zhēn zuò zuò yè,He is doing his homework seriously.,הוא עושה את שיעורי הבית שלו ברצינות.,290,Group 1,8
3,上,shàng,"in, on","ב, על",地上有霜,dì shàng yǒu shuāng,There is frost on the ground,יש כפור על הקרקע,113,Group 1,4
4,我,wǒ,I,אֲנִי,我喜欢安静地阅读书籍,wǒ xǐ huān ān jìng dì yuè dú shū jí,I like to read books quietly,אני אוהב לקרוא ספרים בשקט,357,Group 1,10
5,们,men,We,אָנוּ,我们一起去看电影吧,wǒ mén yī qǐ qù kàn diàn yǐng bā,Let's go to the movies together,בואו נלך יחד לקולנוע,156,Group 1,9
6,一,yī,one,אֶחָד,他今天只吃了一碗面,tā jīn tiān zhī chī liǎo yī wǎn miàn,He only ate a bowl of noodles today.,הוא אכל רק קערת נודלס היום.,178,Group 1,9
7,在,zài,exist,לְהִתְקַיֵם,我们现在在图书馆,wǒ mén xiàn zài zài tú shū guǎn,We are in the library now,אנחנו בספרייה עכשיו,173,Group 1,8
8,很,hěn,very,מְאוֹד,他今天很高兴,tā jīn tiān hěn gāo xīng,He is very happy today,הוא מאוד שמח היום,232,Group 1,6
9,的,de,of,שֶׁל,这是我的书,zhè shì wǒ de shū,This is my book,זה הספר שלי,338,Group 1,5
10,天,tiān,sky,שָׁמַיִם,今天的天气非常好,jīn tiān de tiān qì fēi cháng hǎo,The weather is very good today,מזג האוויר טוב מאוד היום,115,Group 1,8
11,大,dà,big;,גָדוֹל;,刮大风,guā dà fēng,Strong winds,רוחות חזקות,54,Group 1,3
12,着,zhe,(an aspect particle),(חלקיק היבט),我忙着呢,wǒ máng zhuó ne,I'm busy,אני עסוק,54,Group 1,4
13,个,gè,indivual,אינדיבידואלי,他是一个非常有耐心的人,tā shì yī gè fēi cháng yǒu nài xīn de rén,He is a very patient man.,הוא איש מאוד סבלני.,82,Group 1,11
14,人,rén,people,אֲנָשִׁים,这个世界上有很多善良的人,zhè gè shì jiè shàng yǒu hěn duō shàn liáng de rén,There are many kind people in this world,יש הרבה אנשים אדיבים בעולם הזה,84,Group 1,12
15,中,zhōng,medium;,בֵּינוֹנִי;,中国人,zhōng guó rén,chinese man,סיני,46,Group 1,3
16,得,dé,"get, obtain, gain;","לקבל, להשיג, להשיג;",我感动得,wǒ gǎn dòng dé,I was moved,התרגשתי,41,Group 1,4
17,下,xià,next; latter; second;,הַבָּא; אַחֲרוֹן; שְׁנִיָה;,零下温度,líng xià wēn dù,Subzero temperatures,טמפרטורות מתחת לאפס,39,Group 1,4
18,子,zǐ,son,בֵּן,孩子在花园里玩耍,hái zǐ zài huā yuán lǐ wán shuǎ,Children playing in the garden,ילדים משחקים בגן,99,Group 1,8
19,去,qù,go,לָלֶכֶת,明天我们去海边玩,míng tiān wǒ mén qù hǎi biān wán,Let's go to the beach tomorrow,בוא נלך לים מחר,90,Group 1,8
20,喜,xǐ,happy;,שַׂמֵחַ;,我喜欢,wǒ xǐ huān,I like,אני אוהב,32,Group 1,3
21,动,dòng,move;,מַהֲלָך;,社会活动,shè huì huó dòng,Social Activities,פעילויות חברתיות,32,Group 1,4
22,把,bǎ,bunch;,צְרוֹר;,请把,qǐng bǎ,Please put,נא לשים,31,Group 1,2
23,花,huā,coloured;,צבעוני;,花生油,huā shēng yóu,peanut oil,שמן בוטנים,30,Group 1,3
24,方,fāng,square;,מְרוּבָּע;,学习方法,xué xí fāng fǎ,Learning Methods,שיטות למידה,31,Group 1,4
25,问,wèn,ask;,לִשְׁאוֹל;,社会问题,shè huì wèn tí,social issues,סוגיות חברתיות,30,Group 1,4
26,有,yǒu,have,יש,我有很多兴趣爱好,wǒ yǒu hěn duō xīng qù ài hǎo,I have many hobbies,יש לי הרבה תחביבים,127,Group 1,8
27,可,kě,need/worth (doing),צריך/שווה (לעשות),可做,kě zuò,Can do,יכול לעשות,29,Group 1,2
28,可,kě,"but, by all means","אבל, בכל האמצעים",可你去,kě nǐ qù,But you go,אבל אתה הולך,29,Group 1,3
29,常,cháng,often,לְעִתִים קְרוֹבוֹת,他常常锻炼身体,tā cháng cháng duàn liàn shēn tǐ,He often exercises,הוא מרבה להתאמן,50,Group 1,7
30,对,duì,set; adjust;,מַעֲרֶכֶת; לְהַתְאִים;,她没对表,tā méi duì biǎo,She didn't check the watch,היא לא בדקה את השעון,26,Group 1,4
31,点,diǎn,to light; burn;,להדליק; לִשְׂרוֹף;,请点灯。,Qǐng diǎn dēng.,Please light a lamp.,נא להדליק מנורה.,26,Group 1,4
32,点,diǎn,count; choose;,לִסְפּוֹר; לִבחוֹר;,请点菜。,Qǐng diǎn cài.,Please order.,נא להזמין.,26,Group 1,4
33,今,jīn,now,עַכשָׁיו,今天的天气非常好,jīn tiān de tiān qì fēi cháng hǎo,The weather is very good today,מזג האוויר טוב מאוד היום,32,Group 1,8
34,学,xué,study,לִלמוֹד,学习新知识很重要,xué xí xīn zhī shí hěn zhòng yào,Learning new knowledge is important,לימוד ידע חדש הוא חשוב,80,Group 1,8
35,作,zuò,do,לַעֲשׂוֹת,他正在作画，非常专注,tā zhèng zài zuò huà ， fēi cháng zhuān zhù,"He is painting, very focused.","הוא מצייר, מאוד ממוקד.",36,Group 1,10
36,研究,yánjiū,study; research,לִלמוֹד; מֶחקָר,学术研究,xué shù yán jiū,Academic Research,מחקר אקדמי,24,Group 1,4
37,起,qǐ,(quantifier for accidwnts),(כמת תאונות),该起床了,gāi qǐ chuáng liǎo,It's time to get up,הגיע הזמן לקום,23,Group 1,4
38,她,tā,she,הִיא,她喜欢画画,tā xǐ huān huà huà,She likes painting,היא אוהבת לצייר,66,Group 1,5
39,小,xiǎo,Small,קָטָן,小朋友们在玩耍,xiǎo péng yǒu mén zài wán shuǎ,Children playing,ילדים משחקים,46,Group 1,7
40,到,dào,arrive,לְהַגִיעַ,我们已经到达目的地,wǒ mén yǐ jīng dào dá mù de dì,We have arrived at our destination,הגענו ליעד,66,Group 1,9
41,钢琴,gāngqín,piano.,פְּסַנְתֵר.,她每天练习钢琴两个小时。,tā měi tiān liàn xí gāng qín liǎng gè xiǎo shí ,She practices piano for two hours every day.,היא מתרגלת פסנתר במשך שעתיים כל יום.,22,Group 1,3
42,重要,zhòngyào,important;,חָשׁוּב;,重要的,zhòng yào de,Important,חָשׁוּב,20,Group 1,3
43,天气,tiānqì,weather.,מֶזֶג אֲוִיר.,天气预报,tiān qì yù bào,Weather forecast,תחזית מזג האוויר,18,Group 1,4
44,公,gōng,male,זָכָר,公园里有很多游客,gōng yuán lǐ yǒu hěn duō yóu kè,There are many tourists in the park,יש הרבה תיירים בפארק,31,Group 1,8
45,会,huì,meeting,פְּגִישָׁה,明天有一个重要会议,míng tiān yǒu yī gè zhòng yào huì yì,There is an important meeting tomorrow,מחר יש פגישה חשובה,48,Group 1,9
46,好,hǎo,good,טוֹב,这个菜味道很好,zhè gè cài wèi dào hěn hǎo,This dish tastes great,המנה הזו טעימה נהדר,82,Group 1,7
47,是,shì,yes,כֵּן,他是我的好朋友,tā shì wǒ de hǎo péng yǒu,He is my good friend,הוא חבר טוב שלי,129,Group 1,7
48,不,bù,No,לֹא,他不想参加明天的活动,tā bù xiǎng cān jiā míng tiān de huó dòng,He doesn't want to attend tomorrow's event.,הוא לא רוצה להשתתף באירוע של מחר.,82,Group 1,10
49,做,zuò,make; do;,לַעֲשׂוֹת; לַעֲשׂוֹת;,她做月饼,tā zuò yuè bǐng,She makes mooncakes,היא מכינה עוגות ירח,19,Group 1,4
50,最,zuì,most,רוֹב,最高温度,zuì gāo wēn dù,Maximum temperature,טמפרטורה מקסימלית,19,Group 1,4
51,友,yǒu,friend,חבר,朋友之间要互相帮助,péng yǒu zhī jiān yào hù xiāng bāng zhù,Friends should help each other,חברים צריכים לעזור אחד לשני,27,Group 1,9
52,事,shì,thing,דָבָר,今天发生了一件有趣的事,jīn tiān fā shēng liǎo yī jiàn yǒu qù de shì,An interesting thing happened today,דבר מעניין קרה היום,37,Group 1,11
53,业,yè,Industry,תַעֲשִׂיָה,他在IT行业有很丰富的工作经验,tā zài IT xíng yè yǒu hěn fēng fù de gōng zuò jīng yàn,He has extensive working experience in the IT industry,יש לו ניסיון עבודה רב בתעשיית ה-IT,37,Group 1,15
54,有趣,yǒuqù,interesting; amusing,מעניין; מְשַׁעַשֵׁעַ,很有趣,hěn yǒuqù,Very interesting,מאוד מעניין,16,Group 1,3
55,休息,xiūxī,rest.,לָנוּחַ.,该休息了,gāi xiū xī liǎo,It's time to rest,הגיע הזמן לנוח,18,Group 1,4
56,家,jiā,Home,בַּיִת,家是温暖的港湾,jiā shì wēn nuǎn de gǎng wān,Home is a warm harbor,הבית הוא נמל חם,78,Group 1,7
57,多,duō,many,רַבִּים,今天来了很多游客,jīn tiān lái liǎo hěn duō yóu kè,There are many tourists today,יש היום הרבה תיירים,35,Group 1,8
58,种,zhòng,grow; plant;,לִגדוֹל; לִשְׁתוֹל;,一种乐器,yī zhǒng lè qì,a musical instrument,כלי נגינה,17,Group 1,4
59,你,nǐ,you,אַתָה,你今天过得怎么样？,nǐ jīn tiān guò dé zěn me yàng ？,How was your day today?,איך היה היום שלך היום?,82,Group 1,9
60,会议,huìyì,meeting; conference.,פְּגִישָׁה; וְעִידָה.,开会议,kāi huìyì,hold a meeting,לקיים פגישה,14,Group 1,3
61,光,guāng,only;,רַק;,山水风光,shān shuǐ fēng guāng,Landscape,נוֹף,16,Group 1,4
62,年,nián,year;,שָׁנָה;,新年假期,xīn nián jiǎ qī,New Year Holiday,חג ראש השנה,16,Group 1,4
63,遵守,zūnshǒu,abide by; comply with.,לציית; לציית.,遵守规则,zūnshǒu guīzé,Follow the rules,פעל לפי הכללים,16,Group 1,4
64,写,xiě,Write,לִכתוֹב,她喜欢写日记,tā xǐ huān xiě rì jì,She likes to keep a diary,היא אוהבת לנהל יומן,24,Group 1,6
65,件,jiàn,pieces,חתיכות,这件衣服很适合你,zhè jiàn yī fú hěn shì hé nǐ,This dress suits you very well,השמלה הזו מתאימה לך מאוד,23,Group 1,8
66,师,shī,division,חֲלוּקָה,老师正在批改作业,lǎo shī zhèng zài pī gǎi zuò yè,The teacher is correcting homework,המורה מתקן שיעורי בית,37,Group 1,8
67,工,gōng,work,עֲבוֹדָה,工人们在工地上忙碌,gōng rén mén zài gōng dì shàng máng lù,Workers are busy at the construction site,עובדים עסוקים באתר הבנייה,33,Group 1,9
68,习,xí,habit,הֶרגֵל,学生每天都要习写汉字,xué shēng měi tiān dū yào xí xiě hàn zì,Students must practice writing Chinese characters every day,על התלמידים להתאמן בכתיבת תווים סיניים מדי יום,23,Group 1,10
69,雨,yǔ,rain.,גֶשֶׁם.,秋雨,qiū yǔ,autumn rain,גשם סתיו,15,Group 1,2
70,提,tí,"carry, lift","לשאת, להרים",小提琴家,xiǎo tí qín jiā,violinist,כַּנָר,15,Group 1,4
71,参,cān,Ginseng,ג'ינסנג,他参观了科技展览,tā cān guān liǎo kē jì zhǎn lǎn,He visited the technology exhibition,הוא ביקר בתערוכת הטכנולוגיה,20,Group 1,8
72,买,mǎi,purchase,לִרְכּוֹשׁ,我打算去商店买水果,wǒ dǎ suàn qù shāng diàn mǎi shuǐ guǒ,I'm going to the store to buy some fruit.,אני הולך לחנות לקנות פירות.,30,Group 1,9
73,力,lì,force,כּוֹחַ,他用尽全力搬动了箱子,tā yòng jìn quán lì bān dòng liǎo xiāng zǐ,He moved the box with all his strength,הוא הזיז את הקופסה בכל כוחו,28,Group 1,10
74,知识,zhīshí,knowledge;,יֶדַע;,有知识,yǒu zhī shí,Knowledgeable,בעל ידע,12,Group 1,3
75,词汇,cíhuì,vocabulary;,אוֹצָר מִילִים;,专业词汇,zhuān yè cí huì,Professional vocabulary,אוצר מילים מקצועי,14,Group 1,4
76,本,běn,one's own; this; current;,משלו; זֶה; נוֹכְחִי;,三本画册,sān běn huà cè,Three picture books,שלושה ספרי תמונות,14,Group 1,4
77,安全,ānquán,"safe, safety","בטוח, בטיחות",注意安全,zhù yì ān quán,be safe,להיות בטוח,14,Group 1,4
78,爱,ài,love; like;,אַהֲבָה; כְּמוֹ;,她爱好,tā ài hǎo,Her hobbies,התחביבים שלה,12,Group 1,3
79,条,tiáo,(a quantifier for skirts),(כמת לחצאיות),一条铁路,yī tiáo tiě lù,A railway,רכבת,13,Group 1,4
80,水,shuǐ,water,מַיִם,湖水清澈见底,hú shuǐ qīng chè jiàn dǐ,The lake water is crystal clear,מי האגם צלולים,23,Group 1,6
81,山,shān,Mountain,הַר,我们周末去爬山,wǒ mén zhōu mò qù pá shān,We went hiking on the weekend,יצאנו לטייל בסוף השבוע,19,Group 1,7
82,新,xīn,new,חָדָשׁ,我买了一本新书,wǒ mǎi liǎo yī běn xīn shū,I bought a new book,קניתי ספר חדש,37,Group 1,7
83,明,míng,bright,בָּהִיר,明天我们去爬山,míng tiān wǒ mén qù pá shān,We're going hiking tomorrow,מחר אנחנו יוצאים לטייל,30,Group 1,7
84,出,chū,out,הַחוּצָה,他出门去买东西了,tā chū mén qù mǎi dōng xī liǎo,He went out to buy something.,הוא יצא לקנות משהו.,31,Group 1,8
85,老,lǎo,old,יָשָׁן,老师耐心地讲解问题,lǎo shī nài xīn dì jiǎng jiě wèn tí,The teacher patiently explained the problem,המורה הסבירה בסבלנות את הבעיה,47,Group 1,9
86,成,chéng,become,לִהיוֹת,成功的秘诀在于坚持不懈,chéng gōng de mì jué zài yú jiān chí bù xiè,The secret to success is perseverance,סוד ההצלחה הוא התמדה,35,Group 1,11
87,国,guó,country,מְדִינָה,中国是一个有悠久历史的国家,zhōng guó shì yī gè yǒu yōu jiǔ lì shǐ de guó jiā,China is a country with a long history,סין היא מדינה עם היסטוריה ארוכה,31,Group 1,13
88,按,àn,press; push down;,לִלְחוֹץ; לדחוף למטה;,按摩油,àn mó yóu,massage oil,שמן עיסוי,12,Group 1,3
89,香,xiāng,fragrant;,רֵיחָנִי;,不知香臭,bù zhī xiāng chòu,I don't know the fragrance or stench,אני לא יודע את הניחוח או הסירחון,12,Group 1,4
90,晚,wǎn,Night,לַיְלָה,我们晚上去散步,wǒ mén wǎn shàng qù sàn bù,We go for a walk in the evening,אנחנו יוצאים לטייל בערב,22,Group 1,7
91,体,tǐ,body,גוּף,体育锻炼有益健康,tǐ yù duàn liàn yǒu yì jiàn kāng,Physical exercise is good for health,פעילות גופנית טובה לבריאות,13,Group 1,8
92,来,lái,Come,לָבוֹא,他明天会来参加聚会,tā míng tiān huì lái cān jiā jù huì,He will come to the party tomorrow,הוא יבוא מחר למסיבה,50,Group 1,9
93,为,wéi/wèi,for,עֲבוּר,我为你的努力感到骄傲,wǒ wéi nǐ de nǔ lì gǎn dào jiāo ào,I'm proud of your efforts,אני גאה במאמצים שלך,17,Group 1,10
94,场,chǎng,field,שָׂדֶה,操场上孩子们正在踢球,cāo cháng shàng hái zǐ mén zhèng zài tī qiú,Children are playing football on the playground,ילדים משחקים כדורגל במגרש המשחקים,16,Group 1,10
95,该,gāi,ought to; should;,צריך; צריך;,该走啦,gāi zǒu lB,It's time to go,הגיע הזמן ללכת,9,Group 1,3
96,台,tái,(quantifier for TV),(כמת לטלוויזיה),按摩台,àn mó tái,massage table,שולחן עיסוי,11,Group 1,3
97,表,biǎo,watch;,לִצְפּוֹת;,修表师傅,xiū biǎo shī fù,Watch repairer,מתקן שעונים,11,Group 1,4
98,孩,hái,child,יֶלֶד,孩子们在操场上跑,hái zǐ mén zài cāo cháng shàng pǎo,Children running on the playground,ילדים רצים במגרש המשחקים,21,Group 1,8
99,服,fú,Clothes,בגדים,他穿着整齐的校服,tā chuān zhuó zhěng qí de xiào fú,He is wearing a neat school uniform,הוא לובש מדי בית ספר מסודרים,26,Group 1,8
100,物,wù,thing,דָבָר,这些物品需要分类整理,zhè xiē wù pǐn xū yào fēn lèi zhěng lǐ,These items need to be sorted,יש למיין את הפריטים הללו,29,Group 1,10
101,办,bàn,handle; go trough a procedure,יָדִית; לעבור הליך,去办,qù bàn,Go to do it,לך לעשות את זה,10,Group 1,2
102,经济,jīngjì,economy;,כַּלְכָּלָה;,不经济,bù jīng jì,Uneconomical,לא חסכוני,10,Group 1,3
103,取,qǔ,get; fetch;,לְקַבֵּל; לְהָבִיא;,取包裹,qǔ bāo guǒ,Pick up the package,לאסוף את החבילה,10,Group 1,3
104,兴趣,xìngqù,interest,אִינטֶרֶס,有兴趣,yǒu xìngqù,interested in,אִינטֶרֶס,8,Group 1,3
105,客人,kèrén,guest,אוֹרֵחַ,有客人,yǒu kèrén,There are guests,יש אורחים,10,Group 1,3
106,戴,dài,put on; wear,לִלבּוֹשׁ; לִלבּוֹשׁ,戴帽子,dài màozi,Wearing a hat,חובשת כובע,10,Group 1,3
107,垃圾,lājī,rubbish; garbage;,שְׁטוּיוֹת; אַשׁפָּה;,倒垃圾,dào lājī,Take out the trash,הוצא את האשפה,10,Group 1,3
108,结,jiē,bear (fruit);,לְהַנִיב);,结婚了,jié hūn liǎo,get married,להתחתן,10,Group 1,3
109,半天,bàntiān,a long time; quite a while.,זמן רב; די הרבה זמן.,等了半天,děng le bàn tiān,Waited for a long time,חיכה הרבה זמן,10,Group 1,4
110,技术,jìshù,"skill, technique","מיומנות, טכניקה",技术专家,jì shù zhuān jiā,Technical Expert,מומחה טכני,10,Group 1,4
111,展览,zhǎnlǎn,exhibition,תַעֲרוּכָה,这个展览,zhè gè zhǎn lǎn,This exhibition,התערוכה הזו,8,Group 1,4
112,服务,fúwù,serve.,לְשָׁרֵת.,服务客人,fúwù kèrén,Serving Guests,משרת אורחים,10,Group 1,4
113,菜,cài,dish;,צַלַחַת;,菜不够吃,cài bù gòu chī,Not enough food,לא מספיק אוכל,9,Group 1,4
114,正,zhèng,just,רַק,他正在专心学习,tā zhèng zài zhuān xīn xué xí,He is concentrating on studying,הוא מתרכז בלימודים,28,Group 1,7
115,亮,liàng,Bright,בָּהִיר,灯光亮了整个房间,dēng guāng liàng liǎo zhěng gè fáng jiān,The light illuminates the whole room,האור מאיר את כל החדר,17,Group 1,8
116,安,ān,install,לְהַתְקִין,我希望你平安健康,wǒ xī wàng nǐ píng ān jiàn kāng,I hope you are safe and healthy,אני מקווה שאת בטוחה ובריאה,24,Group 1,8
117,以,yǐ,by,עַל יְדֵי,以诚待人是最重要的,yǐ chéng dài rén shì zuì zhòng yào de,Treating others with sincerity is the most important thing,להתייחס לאחרים בכנות זה הדבר החשוב ביותר,25,Group 1,9
118,园,yuán,garden,גַן,公园里有很多花草树木,gōng yuán lǐ yǒu hěn duō huā cǎo shù mù,"There are many flowers, plants and trees in the park","יש הרבה פרחים, צמחים ועצים בפארק",12,Group 1,10
119,欢,huān,joyous,מְשַׂמֵחַ,孩子们欢呼着庆祝节日,hái zǐ mén huān hū zhuó qìng zhù jié rì,Children cheering to celebrate the festival,ילדים מריעים לחגוג את הפסטיבל,34,Group 1,10
120,跟,gēn,follow;,לַעֲקוֹב;,你跟谁,nǐ gēn shuí,Who are you with?,עם מי אתה?,9,Group 1,3
121,挂,guà,hang;,לִתְלוֹת;,挂衣服,guà yīfu,Hanging clothes,תליית בגדים,9,Group 1,3
122,系,jì,tie; fasten;,עֲנִיבָה; לְהַדֵק;,没有关系,méi yǒu guān xì,It doesn't matter,זה לא משנה,9,Group 1,4
123,说明书,shuōmíngshū,synopsis,תַקצִיר,看说明书,kàn shuōmíngshū,Read the instructions,קרא את ההוראות,9,Group 1,4
124,帮,bāng,help,עֶזרָה,朋友帮我搬家,péng yǒu bāng wǒ bān jiā,My friend helped me move,חבר שלי עזר לי לעבור,15,Group 1,6
125,里,lǐ,inside,בְּתוֹך,房间里很安静,fáng jiān lǐ hěn ān jìng,The room is very quiet,החדר שקט מאוד,78,Group 1,6
126,吃,chī,eat,לֶאֱכוֹל,我们去吃晚餐吧,wǒ mén qù chī wǎn cān bā,Let's go have dinner,בוא נלך לאכול ארוחת ערב,26,Group 1,7
127,准,zhǔn,allow,לְהַתִיר,请准时到达会议室,qǐng zhǔn shí dào dá huì yì shì,Please arrive at the meeting room on time,נא להגיע לחדר הישיבות בזמן,14,Group 1,8
128,实,shí,Reality,מְצִיאוּת,事实证明他是对的,shì shí zhèng míng tā shì duì de,It turns out he was right,מסתבר שהוא צדק,15,Group 1,8
129,位,wèi,Bit,קצת,这位老师非常有耐心,zhè wèi lǎo shī fēi cháng yǒu nài xīn,This teacher is very patient.,המורה הזה מאוד סבלני.,15,Group 1,9
130,每,měi,Every,כֹּל,每个人都应该遵守规则,měi gè rén dū yīng gāi zūn shǒu guī zé,Everyone should follow the rules,כולם צריכים לפעול לפי הכללים,21,Group 1,10
131,图,tú,picture,תְמוּנָה,我在书里看到一幅美丽的图画,wǒ zài shū lǐ kàn dào yī fú měi lì de tú huà,I saw a beautiful picture in the book,ראיתי תמונה יפה בספר,9,Group 1,13
132,于,yú,At,בְּ,关于这件事情，我有不同意见于你,guān yú zhè jiàn shì qíng ， wǒ yǒu bù tóng yì jiàn yú nǐ,I disagree with you on this matter.,אני לא מסכים איתך בעניין הזה.,9,Group 1,15
133,度,dù,degree,תוֹאַר,度左右,dù zuǒ yòu,degrees,מעלות,8,Group 1,3
134,伟大,wěidà,great;,גָדוֹל;,很伟大,hěn wěidà,Very great,נהדר מאוד,8,Group 1,3
135,情况,qíngkuàng,situation; case,מַצָב; מִקרֶה,看情况,kàn qíngkuàng,It depends,זה תלוי,8,Group 1,3
136,区,qū,district; region;,מָחוֹז; אֵזוֹר;,工业区,gōng yè qū,Industrial Zone,אזור תעשייה,8,Group 1,3
137,比,bǐ,compare;,לְהַשְׁווֹת;,她比我,tā bǐ wǒ,She is better than me,היא יותר טובה ממני,8,Group 1,3
138,节日,jiérì,holiday.,חַג.,过节日,guò jiérì,Celebrate the holidays,חוגגים את החגים,6,Group 1,3
139,景色,jǐngsè,scenery; view; landscape,נוֹף; נוֹף; נוֹף,好景色,hǎo jǐngsè,Good view,נוף טוב,8,Group 1,3
140,科学,kēxué,science;,מַדָע;,学科学,xué kēxué,Study science,למד מדע,8,Group 1,3
141,门口,ménkǒu,gate,שַׁעַר,在门口,zài ménkǒu,At the door,ליד הדלת,8,Group 1,3
142,院子,yuànzi,yard.,חָצֵר.,在院子,zài yuànzi,In the yard,בחצר,8,Group 1,3
143,整齐,zhěngqí,neat; tidy;,בְּהֵמָה; לְנַקוֹת וֵלְסַדֵר;,很整齐,hěn zhěngqí,Very neat,מאוד מסודר,6,Group 1,3
